time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-26 00:00:00+00:00,13,7,19,16
2026-03-27 00:00:00+00:00,11,6,13,6
2026-03-28 00:00:00+00:00,18,14,3,3
2026-03-29 00:00:00+00:00,18,10,7,3
2026-03-30 00:00:00+00:00,24,18,16,10
2026-03-31 00:00:00+00:00,15,11,7,5
2026-04-01 00:00:00+00:00,15,10,21,11
2026-04-02 00:00:00+00:00,7,7,16,13
2026-04-03 00:00:00+00:00,44,7,12,9
2026-04-04 00:00:00+00:00,18,10,5,3
2026-04-05 00:00:00+00:00,14,9,9,9
2026-04-06 00:00:00+00:00,14,9,10,10
2026-04-07 00:00:00+00:00,10,5,13,6
2026-04-08 00:00:00+00:00,19,9,10,9
