url_path,views_total,views_unique
/Pythagora-io/pythagora,53,42
/Pythagora-io/pythagora/pulls,10,5
/Pythagora-io/pythagora/issues,6,5
/Pythagora-io/pythagora/actions,3,3
/Pythagora-io/pythagora/tree/main/src,3,3
/Pythagora-io/pythagora/blob/main/src/docs/integration/README.md,2,2
/Pythagora-io/pythagora/graphs/contributors,2,2
/Pythagora-io/pythagora/actions/runs/15231787085/workflow,1,1
/Pythagora-io/pythagora/actions/runs/15263175132/workflow,1,1
/Pythagora-io/pythagora/actions/runs/15312330392,1,1
