time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-29 00:00:00+00:00,8,7,26,15
2026-01-30 00:00:00+00:00,24,12,20,14
2026-01-31 00:00:00+00:00,17,9,45,16
2026-02-01 00:00:00+00:00,16,8,12,6
2026-02-02 00:00:00+00:00,7,6,19,11
2026-02-03 00:00:00+00:00,10,5,8,6
2026-02-04 00:00:00+00:00,15,9,1453,24
2026-02-05 00:00:00+00:00,10,6,15,8
2026-02-06 00:00:00+00:00,14,9,22,19
2026-02-07 00:00:00+00:00,4,4,8,6
2026-02-08 00:00:00+00:00,4,3,11,8
2026-02-09 00:00:00+00:00,16,8,13,11
2026-02-10 00:00:00+00:00,10,6,23,15
2026-02-11 00:00:00+00:00,23,13,11,10
