time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-03 00:00:00+00:00,1.0,1.0,78,20
2024-07-04 00:00:00+00:00,,,43,17
2024-07-05 00:00:00+00:00,5.0,3.0,61,22
2024-07-06 00:00:00+00:00,,,36,15
2024-07-07 00:00:00+00:00,1.0,1.0,42,10
2024-07-08 00:00:00+00:00,1.0,1.0,67,36
2024-07-09 00:00:00+00:00,,,51,23
2024-07-10 00:00:00+00:00,3.0,2.0,83,21
2024-07-11 00:00:00+00:00,4.0,2.0,46,18
2024-07-12 00:00:00+00:00,2.0,2.0,65,16
2024-07-13 00:00:00+00:00,2.0,1.0,8,8
2024-07-14 00:00:00+00:00,4.0,1.0,11,8
2024-07-15 00:00:00+00:00,2.0,2.0,46,21
2024-07-16 00:00:00+00:00,2.0,2.0,15,11
