time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-13 00:00:00+00:00,5,5,2,2
2025-12-14 00:00:00+00:00,10,6,1,1
2025-12-15 00:00:00+00:00,13,8,4,4
2025-12-16 00:00:00+00:00,7,7,16,12
2025-12-17 00:00:00+00:00,5,5,3,3
2025-12-18 00:00:00+00:00,5,5,14,9
2025-12-19 00:00:00+00:00,8,8,11,5
2025-12-20 00:00:00+00:00,12,8,11,8
2025-12-21 00:00:00+00:00,7,6,16,7
2025-12-22 00:00:00+00:00,13,9,9,7
2025-12-23 00:00:00+00:00,4,4,27,9
2025-12-24 00:00:00+00:00,18,7,100,13
2025-12-25 00:00:00+00:00,12,5,7,5
2025-12-26 00:00:00+00:00,11,4,10,7
