time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-23 00:00:00+00:00,27,13,8,5
2026-05-24 00:00:00+00:00,25,12,3,3
2026-05-25 00:00:00+00:00,27,13,6,6
2026-05-26 00:00:00+00:00,10,4,6,6
2026-05-27 00:00:00+00:00,31,15,12,8
2026-05-28 00:00:00+00:00,20,9,4,4
2026-05-29 00:00:00+00:00,26,11,10,7
2026-05-30 00:00:00+00:00,19,9,12,7
2026-05-31 00:00:00+00:00,22,12,21,10
2026-06-01 00:00:00+00:00,16,11,2,2
2026-06-02 00:00:00+00:00,24,10,10,8
2026-06-03 00:00:00+00:00,14,5,4,3
2026-06-04 00:00:00+00:00,19,10,5,4
2026-06-05 00:00:00+00:00,34,16,7,5
