time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-13 00:00:00+00:00,2,2,223,66
2023-10-14 00:00:00+00:00,3,3,32,25
2023-10-15 00:00:00+00:00,2,2,110,19
2023-10-16 00:00:00+00:00,5,5,105,42
2023-10-17 00:00:00+00:00,1,1,79,33
2023-10-18 00:00:00+00:00,4,4,88,33
2023-10-19 00:00:00+00:00,6,6,156,38
2023-10-20 00:00:00+00:00,3,3,209,42
2023-10-21 00:00:00+00:00,2,2,69,25
2023-10-22 00:00:00+00:00,3,3,72,22
2023-10-23 00:00:00+00:00,6,6,228,47
2023-10-24 00:00:00+00:00,2,2,157,33
2023-10-25 00:00:00+00:00,3,3,71,39
2023-10-26 00:00:00+00:00,3,3,103,26
